3083648	6194164	8937084	102912	94538
2963456	144068	10853512	13170816	91502
3575168	86696	42146	82560	74068
54656	55816	4781014	82432	100496
4178176	116678	2258500	621440	73336
5041408	780550	5113410	114176	70668
347392	60560	28883510	74624	161486
11109376	91842	1284780	115200	71580
7143424	106698	647624	2829696	83080
1152128	747268	1299794	62464	6646570
3824128	997888	654682	84480	66802
1006592	4420404	6105008	84864	845860
700672	135278	3008088	4513920	1872114
710656	76012	2177048	8851968	81918
13535872	706750	50110	76032	72542
64384	112432	3236244	95616	1231900
9635968	822504	26409318	115456	3180310
6070528	71132	3112870	107264	88608
716032	83150	706920	119424	65458
52992	177576	1824354	89216	79366
536576	49172	3764810	4322432	70926
3866240	3726214	603326	5748864	66068
727936	187836	767204	119552	4674886
682112	759202	7785338	179840	316184
151296	7014888	706436	84352	68950
12010368	3635424	821028	107904	102526
70400	6202158	3119374	112512	75268
2780288	710202	3994990	89216	86562
411776	788946	3306290	140416	434912
2391808	785596	7495156	105984	72740
312832	2285366	1852520	87296	881468
952832	726858	628114	8870656	1222708
723968	783166	2422988	112640	66462
7943296	465874	9417508	75264	76008
4781312	52988	5068116	92160	95154
710912	5296342	6035322	103296	72132
4078848	779620	6629998	116736	98012
6690944	64034	43664	62208	68814
712192	773114	3320176	110976	70564
7377024	1649338	653226	531328	84514

