6383	6047	73664	2046	1574
7361	6207	8648	817	1010
10135	32812	8636	1019	887
31586	5406	5415	9473	893
9685	5514	8742	1055	883
5372	6778	5403	1075	27565
5454	9080	5358	1038	564
9641	5468	18956	1019	646
5369	5397	5464	9061	42978
19648	5419	9947	629	496
29827	5496	5490	988	784
9669	9038	8856	667	3801
30687	5422	41247	966	862
5934	6681	9213	4402	18091
9878	5418	5318	824	4039
9550	5386	8969	977	1079
18736	5316	22160	982	687
9742	9192	39285	7100	7346
9825	12368	5557	1011	986
6755	8835	5453	657	715
15421	5589	8422	5017	941
5372	5703	5410	1147	2852
9747	13323	8543	962	798
5440	5403	8674	777	31191
9572	9178	5537	3396	757
9547	5470	5469	2244	709
22824	5782	5457	968	876
9818	5476	5530	852	4114
6684	31322	11273	11692	934
12081	9206	9103	29347	870
7919	5518	8737	961	32064
9621	5516	23701	63236	1337
9688	5285	5239	793	6274
9720	8899	8600	824	866
5363	9029	12222	936	705
10341	5387	6949	618	537
5359	5384	12405	577	889
10619	5255	5320	636	833
10361	5325	8590	832	47728
17194	8892	8579	943	760

