129504	61049	52352	128006	141848
111707	67705	53879	132620	194196
1318	271711	46381	130131	224066
42805	52492	152172	134212	108442
113117	69287	52484	91062	137515
107373	78194	47518	167288	136240
141014	61058	52682	134131	100945
112756	121708	98730	135430	15377
39390	38577	52791	127236	135725
112123	176825	44159	121012	141165
144654	211384	46574	2020	137064
112098	73817	49536	118637	125781
104178	262519	49640	113155	134932
126515	69183	60676	56944	92652
92834	78096	48719	128163	129641
221517	146364	46611	112157	129287
108671	79005	53173	175154	129132
97769	117024	51033	126583	132811
117426	63435	20817	131964	135042
88681	66304	63272	131350	140334
111987	73352	52797	105002	130487
281529	197341	51454	127503	178687
112448	59579	29167	66366	133492
289048	78483	33130	42900	145812
60138	58730	81335	80926	204671
10760	146247	32294	121124	53016
314257	532	142592	124938	113445
111611	659	40930	82184	124994
116205	67975	52485	153874	103856
204532	54679	808	8706	117856
331116	129476	115460	126467	113383
82735	58912	56695	107301	86147
751	64292	43364	129602	128349
141568	61551	73806	106061	225998
102172	66584	110494	129632	143718
101349	58980	47951	112040	110462
116765	248924	104997	94124	92065
246241	62592	56036	137913	125348
107554	62903	56823	132687	126075
279440	51892	54794	131905	141053
