107676	124181	132807	140816	116182
102314	123713	137886	140906	112735
104761	124037	142166	143339	111490
101482	122488	142977	140160	110242
106144	123704	134563	140328	110680
107539	120077	140387	145586	108898
105408	122154	140493	137286	112061
104429	129299	134538	145280	113475
105609	128095	139443	143478	112196
105668	127823	139261	140658	109936
102452	125829	140423	139638	110829
105005	119742	134140	140432	114011
102948	122631	135954	139433	107337
102847	119533	141733	141264	108094
107089	122286	136516	141422	106996
106332	120385	137477	141566	107021
109477	124473	139139	139068	110143
104683	121146	134385	147376	106617
105405	116948	133397	140517	107143
112915	118176	138157	139373	109191
108486	135228	136615	140666	111289
107414	122795	137475	139623	113520
106162	121048	138371	140028	108121
108894	120274	139648	141183	111422
107608	120729	140093	146822	110856
108268	120963	135261	140268	106124
103953	123320	136674	141013	108431
104896	122160	137975	138669	109161
106370	121777	138203	138490	107118
102164	123847	137333	144766	111509
105309	122274	139908	143183	107774
103849	124022	142268	139926	109054
107087	125157	140286	140852	110612
104009	122279	140272	144596	107680
103713	122035	139712	136269	107837
102936	120410	134161	142087	109859
103852	124430	137177	138407	106803
101838	119971	134232	138981	107302
105295	118738	141237	143623	106375
104239	123610	135153	139666	106382

