226964	342007	300480	358343	415756
388848	146269	165335	315094	411001
183288	166525	97867	396695	384699
130926	103903	161669	396594	230265
283538	107994	176529	399929	403183
522505	160322	194098	380533	409669
223532	119763	96724	255775	400769
209790	523712	517193	376844	377195
138495	178732	529769	401671	261116
321066	162795	164991	395063	381538
390419	305516	127471	392459	398125
262355	159441	300789	265146	244476
206325	163314	398328	238479	211595
369898	111253	506355	234566	376176
250210	142483	169288	219630	413594
212258	160845	176445	407126	413668
215879	282738	517463	397998	403868
364099	354930	531761	323133	403079
237571	599158	312472	266882	415800
213976	159900	429820	239563	367630
240066	101156	165822	134936	410931
482769	467197	164533	225730	419725
89376	166628	143318	386418	406539
314413	161786	165876	145786	344562
143769	146898	164824	205479	408633
143540	87401	93100	350744	401074
132149	90824	162282	394338	235906
461659	488502	296672	175486	272945
189273	159609	380674	222245	228113
327420	158997	660639	267493	408232
163360	72397	67821	399346	414721
214634	142594	163869	392965	403543
144061	152014	342226	233488	372142
162234	161127	97381	253177	394194
130690	142425	599943	307687	320181
357147	396708	423425	396898	408786
308403	164017	97451	297514	417530
100985	163540	548100	294025	327604
210933	167850	140252	306181	362445
211615	157531	368298	234009	404556
